,Canonical_smiles,Murcko,ClassE,No
3276,Cc1ccc(C#N)c(S[C@H](CCN)c2ccccc2)n1.OC(=O)\C=C\C(=O)O,c1ccc(CSc2ccccn2)cc1,0,2877
5842,CN(C)C(=O)c1ccc(Oc2cc(cc3oc(C)cc23)C(=O)Nc4cnc(C)cn4)cc1,O=C(Nc1cnccn1)c1cc(Oc2ccccc2)c2ccoc2c1,0,5457
337,CC(C)N1CCN(CC1)c2ccc(OC[C@H]3CO[C@@](Cn4cncn4)(O3)c5ccc(Cl)cc5Cl)cc2,c1ccc(C2(Cn3cncn3)OCC(COc3ccc(N4CCNCC4)cc3)O2)cc1,0,1927
2411,COC1(CCOCC1)c2ccc(NC(=O)C3=CC(=O)c4cc(F)cc(c4O3)c5c(C)nn(C)c5C)cn2,O=C(Nc1ccc(C2CCOCC2)nc1)c1cc(=O)c2cccc(-c3cn[nH]c3)c2o1,0,6101
4903,CC(C)c1ccc(NC(=O)c2cccc(c2)c3nn([C@@H]4CCCN(C4)C(=O)C=C)c5ncnc(N)c35)cc1C,O=C(Nc1ccccc1)c1cccc(-c2nn(C3CCCNC3)c3ncncc23)c1,1,4514
6128,CNc1ccc(\C=C\c2c(F)cccc2Cl)cc1,C(=Cc1ccccc1)c1ccccc1,0,445
7433,O=C(Cc1cnc(nc1)n2cnnn2)N3CCN4C[C@H](OC[C@@H]4C3)c5ccc6C(=O)OCCc6c5,O=C1OCCc2cc(C3CN4CCN(C(=O)Cc5cnc(-n6cnnn6)nc5)CC4CO3)ccc21,0,2244
5975,CC(C)N(C)[C@@H]1CC[C@@H]([C@H](CS(=O)(=O)C(C)C)C1)N2CC[C@H](NC(=O)c3cccc(c3)C(C)(C)C)C2=O,O=C(NC1CCN(C2CCCCC2)C1=O)c1ccccc1,0,5016
3601,FC(F)(F)C(=O)Nc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccccc54)CC3)nc2N1,0,7539
2477,Cc1ncoc1c2nnc(SCCCN3C[C@@H]4C[C@@]4(C3)c5ccc(cc5)C(F)(F)F)n2C,c1ccc(C23CC2CN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,1,4235
2101,CCCNc1cc(cc(CCc2oc(CC)c(C)n2)n1)N3CCOCC3,c1cc(N2CCOCC2)cc(CCc2ncco2)n1,1,4312
