,Canonical_smiles,Murcko,ClassA,No
3934,COc1cc(\C=C\2/CCCN3C2=NOC3(C)c4ccc(F)cc4)ccc1n5cnc(C)c5,C(=C1CCCN2C1=NOC2c1ccccc1)c1ccc(-n2ccnc2)cc1,1,1007
1361,C(S\C(=N/C1CCCCC1)\NC2CCCCC2)C3=CSC4=NCCN34,C1=C(CSC(=NC2CCCCC2)NC2CCCCC2)N2CCN=C2S1,0,2375
3661,NC(=O)Cc1ccc(cc1)[C@@H]2CC[C@@H](CC2)N3CC(C3)NC(=O)CNc4n[nH]c5ccc(cc45)C(F)(F)F,O=C(CNc1n[nH]c2ccccc12)NC1CN(C2CCC(c3ccccc3)CC2)C1,0,675
700,Clc1ccc2C(=O)C=C(Oc2c1)C(=O)NC3CCN(Cc4ccc5OCOc5c4)CC3,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccccc2o1,1,2468
7596,OCCn1c2ccccc2c3ccnc(CN(CCCN4CCNCC4)C5CCCc6cccnc56)c13,c1cnc2c(c1)CCCC2N(CCCN1CCNCC1)Cc1nccc2c1[nH]c1ccccc12,0,101
1677,C1CC2(CCN1)Oc3ccccc3C(=C2)c4ccccc4,C1=C(c2ccccc2)c2ccccc2OC12CCNCC2,1,1046
5699,CCCCCCCN(CC)C\C=C\Cc1ccc(Cl)cc1,c1ccccc1,1,6124
7194,C1CCC(CC1)c2c[nH]c(n2)C3Cc4c([nH]c5ccccc45)C(N3)C6CCOCC6,c1ccc2c3c([nH]c2c1)C(C1CCOCC1)NC(c1nc(C2CCCCC2)c[nH]1)C3,1,6287
4496,C1CC(CCS1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6,c1ccc(-c2c[nH]c(C3Cc4c([nH]c5ccccc45)C(C4CCSCC4)N3)n2)cc1,1,2513
969,Clc1ccc(cc1)C(=O)N2CCC3(CCN(Cc4ccccc4Oc5ccccc5)CC3)CC2,O=C(c1ccccc1)N1CCC2(CCN(Cc3ccccc3Oc3ccccc3)CC2)CC1,1,5124
3282,CC(C)C1(OC(=O)NC1=O)C2=CC=C(NC2=O)c3ccc4ccccc4c3,O=C1NC(=O)C(c2ccc(-c3ccc4ccccc4c3)[nH]c2=O)O1,0,2525
1786,Cc1nn(cc1CN2CCC3(CC2)OCc4ccccc34)c5ncccc5Cl,c1ccc(-n2cc(CN3CCC4(CC3)OCc3ccccc34)cn2)nc1,0,4963
2935,Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@@H](C3)Oc4cccc(c4)C(=O)N)s1,c1ccc(OC2CC3CCC(C2)N3Cc2cccs2)cc1,1,5278
5146,O[C@@]1(CC[C@H](CC1)N2CC(C2)NC(=O)CNc3ccnc4ccc(cc34)C(F)(F)F)c5cncs5,O=C(CNc1ccnc2ccccc12)NC1CN(C2CCC(c3cncs3)CC2)C1,0,6261
4395,OC(=O)C1=CC(=C2C=CC=CN2C1=O)CN3CCN(CC3)c4ccc(Br)cc4,O=c1ccc(CN2CCN(c3ccccc3)CC2)c2ccccn12,0,6895
1471,COc1ccc(C[C@H](N)C(=O)N[C@@H]2[C@@H](CO)O[C@H]([C@@H]2O)n3cnc4c(ncnc34)N(C)C)cc1,O=C(CCc1ccccc1)NC1COC(n2cnc3cncnc32)C1,0,3477
5530,COc1cc2nnc(C(=O)N)c(Nc3ccc(C)cc3F)c2cc1N4CCC(CC4)N(C)C,c1ccc(Nc2cnnc3ccc(N4CCCCC4)cc23)cc1,0,473
2651,OC(C(N1CCC1)c2ccccc2)(c3cccnc3)c4cccnc4,c1ccc(C(C(c2cccnc2)c2cccnc2)N2CCC2)cc1,0,2480
1498,Nc1ccc(cc1N)c2ccsc2,c1ccc(-c2ccsc2)cc1,0,8264
3188,COc1ccc(c(OC)n1)c2nc3cc(F)c(F)cc3n2[C@@H](C4CCCCC4)C(=O)N[C@@H]5CC[C@H](CC5)C(=O)O,O=C(NC1CCCCC1)C(C1CCCCC1)n1c(-c2cccnc2)nc2ccccc21,0,6007
161,CCC(=O)N(C1CCN(CCc2ccccc2)CC1)c3ccccc3,c1ccc(CCN2CCC(Nc3ccccc3)CC2)cc1,0,5151
1589,N[C@H](Cc1cc(F)c(F)cc1F)C2CCN(CC2)C(=O)c3cnc4ncccn34,O=C(c1cnc2ncccn12)N1CCC(CCc2ccccc2)CC1,0,2909
2760,CC1(C)C[C@@H](NC(=O)c2cn[nH]c2)c3cc(c4ccc(Cl)cc4)c(nc3O1)c5ccc(Cl)cc5Cl,O=C(NC1CCOc2nc(-c3ccccc3)c(-c3ccccc3)cc21)c1cn[nH]c1,1,5891
3906,[Br-].C[N+](C)(CCCCNC(=O)Cc1ccc(OCc2ccccc2)cc1)CCNC(=O)c3nc(Cl)c(N)nc3N,O=C(Cc1ccc(OCc2ccccc2)cc1)NCCCC[NH2+]CCNC(=O)c1cnccn1,1,3011
